Set Voltage (V),Measurement 1 (V),Measurement 2 (V),Measurement 3 (V),Measurement 4 (V),Measurement 5 (V),Measurement 6 (V),Measurement 7 (V),Measurement 8 (V),Measurement 9 (V),Measurement 10 (V)
3.300,3.276377,3.276002,3.275860,3.274833,3.275145,3.276136,3.277088,3.277205,3.279704,3.278995
3.290,3.268694,3.265784,3.266989,3.267434,3.267753,3.267005,3.267913,3.266778,3.266193,3.267135
3.280,3.255013,3.251772,3.264410,3.266712,3.263808,3.265834,3.262500,3.265247,3.264438,3.263300
3.270,3.243630,3.244831,3.243763,3.244718,3.242311,3.241432,3.241906,3.242414,3.240854,3.242117
3.260,3.243064,3.242961,3.241889,3.244175,3.244132,3.243664,3.243695,3.243943,3.242390,3.242169
3.250,3.231998,3.232107,3.232421,3.230972,3.230166,3.230079,3.231155,3.230887,3.232278,3.232111
3.240,3.225772,3.224988,3.223281,3.225010,3.224120,3.222102,3.221660,3.220844,3.221150,3.221006
3.230,3.208882,3.206763,3.206887,3.208665,3.208174,3.204861,3.205205,3.205018,3.207023,3.206838
3.220,3.207128,3.207623,3.206934,3.207134,3.207583,3.207616,3.208074,3.206345,3.207398,3.207875
3.210,3.183287,3.178595,3.192873,3.197584,3.196715,3.195609,3.194985,3.197361,3.194382,3.193960
3.200,3.171609,3.173801,3.173127,3.170611,3.173294,3.173388,3.173089,3.171331,3.173108,3.171059
3.190,3.172603,3.171401,3.169035,3.171907,3.169604,3.170202,3.170301,3.170004,3.173580,3.171706
3.180,3.163548,3.160828,3.159654,3.159642,3.162354,3.160897,3.161648,3.162015,3.162380,3.162608
3.170,3.149433,3.150215,3.151159,3.151418,3.150937,3.151078,3.153037,3.153077,3.150515,3.151009
3.160,3.138323,3.138320,3.136375,3.141035,3.138920,3.137916,3.138199,3.137779,3.136976,3.138978
3.150,3.127899,3.126871,3.135385,3.137039,3.137116,3.137477,3.137285,3.138925,3.139263,3.138991
3.140,3.118298,3.114649,3.124822,3.126075,3.127696,3.126573,3.126367,3.125349,3.126118,3.124325
3.130,3.104776,3.105442,3.107264,3.116111,3.117057,3.115765,3.117218,3.117905,3.116994,3.115992
3.120,3.117121,3.117084,3.115844,3.117634,3.116999,3.118477,3.118757,3.115646,3.116445,3.116116
3.110,3.096460,3.094893,3.095170,3.094735,3.094855,3.095365,3.093792,3.091930,3.094213,3.092828
3.100,3.083874,3.082909,3.082863,3.081524,3.082062,3.083302,3.082392,3.081857,3.081758,3.081580
3.090,3.075363,3.072500,3.075866,3.071935,3.072911,3.072481,3.071861,3.073204,3.073447,3.073315
3.080,3.062737,3.061167,3.061923,3.060978,3.059975,3.060628,3.060949,3.060897,3.060378,3.062442
3.070,3.050988,3.052722,3.051268,3.051562,3.048586,3.050152,3.050177,3.051017,3.050025,3.051626
3.060,3.039701,3.040229,3.039548,3.038641,3.039674,3.038865,3.039262,3.039432,3.039810,3.038927
3.050,3.036839,3.035981,3.037744,3.036226,3.036596,3.036462,3.038419,3.039946,3.037174,3.037972
3.040,3.026546,3.025560,3.025331,3.027766,3.025895,3.027133,3.026921,3.028584,3.028958,3.026785
3.030,3.015386,3.014923,3.014171,3.015485,3.016447,3.016282,3.016524,3.014277,3.014220,3.017046
3.020,3.005715,3.004120,3.006062,3.008157,3.009175,3.009087,3.007078,3.009298,3.009425,3.006509
3.010,2.992990,2.993975,2.992841,2.991082,2.992044,2.993284,2.993145,2.991395,2.992638,2.993973
3.000,2.986279,2.984274,2.982914,2.982434,2.980428,2.980960,2.980957,2.981543,2.980261,2.982742
2.990,2.969396,2.970518,2.969663,2.970621,2.969873,2.970902,2.970348,2.969864,2.970857,2.969705
2.980,2.969106,2.969050,2.968943,2.971016,2.970352,2.971204,2.970531,2.971616,2.971261,2.969507
2.970,2.956087,2.956397,2.956505,2.955828,2.956166,2.959662,2.959363,2.959729,2.959247,2.958998
2.960,2.949563,2.949425,2.949699,2.948831,2.948899,2.945965,2.948474,2.946420,2.947384,2.948779
2.950,2.933908,2.934399,2.933276,2.937252,2.938145,2.937006,2.936467,2.934466,2.936086,2.935176
2.940,2.925202,2.926327,2.928365,2.927678,2.927587,2.928470,2.926489,2.925631,2.925047,2.924851
2.930,2.912410,2.911805,2.913847,2.912478,2.913702,2.914648,2.912486,2.913721,2.915269,2.915222
2.920,2.902911,2.901049,2.903008,2.903624,2.901698,2.901707,2.901396,2.901352,2.902142,2.901840
2.910,2.900999,2.899409,2.901499,2.901746,2.903042,2.903284,2.902722,2.902886,2.900341,2.898166
2.900,2.887576,2.887848,2.887661,2.888435,2.888037,2.887388,2.888919,2.887587,2.888947,2.889773
2.890,2.873107,2.873597,2.873117,2.871736,2.873296,2.873227,2.872979,2.873511,2.870451,2.872302
2.880,2.861972,2.863408,2.861164,2.860655,2.861134,2.860367,2.861892,2.861025,2.861207,2.862391
2.870,2.851339,2.849075,2.851544,2.851704,2.850295,2.850166,2.850084,2.850906,2.850317,2.849705
2.860,2.837365,2.835784,2.837456,2.837113,2.836414,2.836326,2.836218,2.836545,2.836115,2.836165
2.850,2.826364,2.825663,2.836187,2.836998,2.837595,2.838238,2.838130,2.837432,2.837677,2.836786
2.840,2.837787,2.837785,2.836612,2.836877,2.836368,2.835826,2.837416,2.840675,2.839476,2.837913
2.830,2.813577,2.815105,2.814636,2.813875,2.814245,2.814471,2.815255,2.814041,2.814693,2.813305
2.820,2.803578,2.802799,2.803222,2.802256,2.802660,2.802475,2.804325,2.804969,2.804738,2.802139
2.810,2.790070,2.790400,2.791531,2.791119,2.789587,2.790074,2.790647,2.791832,2.792090,2.792217
2.800,2.779771,2.782954,2.778225,2.776380,2.777963,2.778471,2.777575,2.778251,2.776452,2.777353
2.790,2.777112,2.779436,2.780187,2.782284,2.781331,2.778064,2.776121,2.777816,2.776016,2.778019
2.780,2.753710,2.752169,2.764164,2.765798,2.767100,2.765396,2.763439,2.762753,2.763204,2.763369
2.770,2.743532,2.744176,2.743744,2.742917,2.743126,2.744741,2.742538,2.740711,2.740869,2.741844
2.760,2.744246,2.741990,2.744090,2.743418,2.744480,2.743304,2.744318,2.744664,2.743772,2.743959
2.750,2.729989,2.730006,2.732010,2.731655,2.731373,2.730438,2.730430,2.730157,2.731286,2.730837
2.740,2.721865,2.721858,2.722439,2.722978,2.722547,2.722880,2.719434,2.722366,2.719612,2.719138
2.730,2.708985,2.707043,2.708002,2.707924,2.707266,2.706091,2.706702,2.707249,2.705441,2.706864
2.720,2.708857,2.709345,2.709268,2.709304,2.707976,2.707131,2.707017,2.708263,2.707238,2.706408
2.710,2.685939,2.686070,2.685965,2.686548,2.686106,2.685306,2.686353,2.686103,2.683618,2.682967
2.700,2.671402,2.672446,2.683931,2.684369,2.683477,2.684903,2.684217,2.685594,2.684776,2.688008
2.690,2.685245,2.686622,2.686991,2.686542,2.686911,2.685557,2.684755,2.684507,2.685557,2.683595
2.680,2.665977,2.665587,2.665857,2.666232,2.663468,2.664472,2.661836,2.663893,2.665731,2.663939
2.670,2.653710,2.652992,2.653706,2.653989,2.653300,2.652104,2.651276,2.652110,2.652422,2.649758
2.660,2.640997,2.641633,2.639608,2.643015,2.643464,2.643418,2.645107,2.642091,2.641799,2.640102
2.650,2.629049,2.630223,2.630682,2.629862,2.627554,2.627370,2.627424,2.628827,2.628791,2.629406
2.640,2.618640,2.619868,2.619071,2.619661,2.621138,2.620292,2.620124,2.619461,2.619601,2.617088
2.630,2.609166,2.607632,2.608591,2.607841,2.606710,2.606349,2.607685,2.609492,2.606662,2.609128
2.620,2.607056,2.606475,2.607460,2.607296,2.606184,2.606694,2.607099,2.606957,2.608517,2.606392
2.610,2.598350,2.598513,2.601285,2.600848,2.600412,2.599994,2.599752,2.600207,2.599674,2.599290
2.600,2.589596,2.591219,2.589525,2.588760,2.589037,2.589694,2.588964,2.588874,2.587859,2.588423
2.590,2.575471,2.574151,2.574370,2.574954,2.574344,2.574465,2.574610,2.573332,2.572424,2.572549
2.580,2.563287,2.564651,2.564704,2.563873,2.565450,2.562249,2.563760,2.563821,2.563646,2.565051
2.570,2.559435,2.552904,2.553168,2.554818,2.552890,2.548155,2.547135,2.548564,2.549457,2.553955
2.560,2.541477,2.540352,2.542055,2.542105,2.539940,2.540353,2.540692,2.541341,2.540652,2.541776
2.550,2.538715,2.539044,2.539743,2.538256,2.537639,2.535391,2.535786,2.536943,2.537769,2.536875
2.540,2.527583,2.527096,2.524772,2.526022,2.526696,2.526651,2.527121,2.526749,2.527277,2.528101
2.530,2.516177,2.516521,2.514750,2.516380,2.517657,2.517146,2.516048,2.514397,2.515097,2.516753
2.520,2.504566,2.504561,2.503277,2.501644,2.501250,2.501972,2.502474,2.501093,2.499300,2.498770
2.510,2.490212,2.488839,2.489938,2.488627,2.487915,2.487817,2.490406,2.488263,2.489988,2.491172
2.500,2.480243,2.478956,2.479310,2.478817,2.478940,2.478389,2.479003,2.477054,2.477137,2.478603
2.490,2.467035,2.466988,2.467136,2.467971,2.470171,2.468234,2.468938,2.468699,2.468506,2.467348
2.480,2.466222,2.466169,2.468275,2.467808,2.468025,2.467712,2.465866,2.466347,2.465101,2.466816
2.470,2.458758,2.455081,2.456703,2.456770,2.456506,2.456854,2.456762,2.455586,2.456001,2.452828
2.460,2.444226,2.443442,2.443410,2.443776,2.442836,2.441354,2.444517,2.443499,2.443231,2.442577
2.450,2.429920,2.430236,2.430841,2.430167,2.432529,2.431950,2.433370,2.432132,2.433640,2.433266
2.440,0.002116,0.001866,0.001673,0.001518,0.001391,0.001286,0.001193,0.001116,0.001049,0.000990
2.430,0.000556,0.000541,0.000524,0.000511,0.000498,0.000485,0.000473,0.000462,0.000451,0.000441
2.420,0.000334,0.000329,0.000323,0.000319,0.000313,0.000308,0.000304,0.000300,0.000296,0.000290
2.410,0.000242,0.000239,0.000236,0.000234,0.000231,0.000230,0.000227,0.000224,0.000222,0.000220
2.400,0.000192,0.000190,0.000188,0.000187,0.000185,0.000183,0.000182,0.000180,0.000179,0.000178
2.390,0.000160,0.000159,0.000157,0.000156,0.000155,0.000154,0.000153,0.000152,0.000150,0.000150
2.380,0.000137,0.000136,0.000136,0.000135,0.000134,0.000133,0.000132,0.000132,0.000131,0.000130
2.370,0.000120,0.000120,0.000119,0.000119,0.000118,0.000117,0.000117,0.000117,0.000116,0.000115
2.360,0.000108,0.000107,0.000106,0.000106,0.000106,0.000106,0.000105,0.000105,0.000104,0.000104
2.350,0.000097,0.000097,0.000096,0.000096,0.000097,0.000095,0.000095,0.000094,0.000094,0.000094
2.340,0.000089,0.000089,0.000089,0.000088,0.000087,0.000087,0.000087,0.000087,0.000086,0.000086
2.330,0.000082,0.000082,0.000082,0.000082,0.000081,0.000081,0.000081,0.000080,0.000080,0.000079
2.320,0.000076,0.000076,0.000076,0.000076,0.000076,0.000075,0.000075,0.000075,0.000075,0.000074
2.310,0.000072,0.000072,0.000070,0.000071,0.000071,0.000070,0.000070,0.000069,0.000070,0.000069
